@relation accelerometer_features

@attribute fft_coef_0000 numeric
@attribute fft_coef_0001 numeric
@attribute fft_coef_0002 numeric
@attribute fft_coef_0003 numeric
@attribute fft_coef_0004 numeric
@attribute fft_coef_0005 numeric
@attribute fft_coef_0006 numeric
@attribute fft_coef_0007 numeric
@attribute fft_coef_0008 numeric
@attribute fft_coef_0009 numeric
@attribute fft_coef_0010 numeric
@attribute fft_coef_0011 numeric
@attribute fft_coef_0012 numeric
@attribute fft_coef_0013 numeric
@attribute fft_coef_0014 numeric
@attribute fft_coef_0015 numeric
@attribute fft_coef_0016 numeric
@attribute fft_coef_0017 numeric
@attribute fft_coef_0018 numeric
@attribute fft_coef_0019 numeric
@attribute fft_coef_0020 numeric
@attribute fft_coef_0021 numeric
@attribute fft_coef_0022 numeric
@attribute fft_coef_0023 numeric
@attribute fft_coef_0024 numeric
@attribute fft_coef_0025 numeric
@attribute fft_coef_0026 numeric
@attribute fft_coef_0027 numeric
@attribute fft_coef_0028 numeric
@attribute fft_coef_0029 numeric
@attribute fft_coef_0030 numeric
@attribute fft_coef_0031 numeric
@attribute fft_coef_0032 numeric
@attribute fft_coef_0033 numeric
@attribute fft_coef_0034 numeric
@attribute fft_coef_0035 numeric
@attribute fft_coef_0036 numeric
@attribute fft_coef_0037 numeric
@attribute fft_coef_0038 numeric
@attribute fft_coef_0039 numeric
@attribute fft_coef_0040 numeric
@attribute fft_coef_0041 numeric
@attribute fft_coef_0042 numeric
@attribute fft_coef_0043 numeric
@attribute fft_coef_0044 numeric
@attribute fft_coef_0045 numeric
@attribute fft_coef_0046 numeric
@attribute fft_coef_0047 numeric
@attribute fft_coef_0048 numeric
@attribute fft_coef_0049 numeric
@attribute fft_coef_0050 numeric
@attribute fft_coef_0051 numeric
@attribute fft_coef_0052 numeric
@attribute fft_coef_0053 numeric
@attribute fft_coef_0054 numeric
@attribute fft_coef_0055 numeric
@attribute fft_coef_0056 numeric
@attribute fft_coef_0057 numeric
@attribute fft_coef_0058 numeric
@attribute fft_coef_0059 numeric
@attribute fft_coef_0060 numeric
@attribute fft_coef_0061 numeric
@attribute fft_coef_0062 numeric
@attribute fft_coef_0063 numeric
@attribute max numeric
@attribute label {standing,walking,jogging,sprinting,others}

@data
28.009473,8.451225,7.226882,5.816095,3.777349,3.04973,3.287903,4.064858,1.4684,5.37642,3.932643,2.18232,0.52103,1.150202,1.152165,1.828071,1.691609,1.12882,1.171213,1.23549,1.993102,1.251413,0.777233,0.77679,1.388875,1.083031,2.369917,1.980706,1.34872,1.420349,1.293887,1.062824,1.084342,1.062824,1.293887,1.420349,1.34872,1.980706,2.369917,1.083031,1.388875,0.77679,0.777233,1.251413,1.993102,1.23549,1.171213,1.12882,1.691609,1.828071,1.152165,1.150202,0.52103,2.18232,3.932643,5.37642,1.4684,4.064858,3.287903,3.04973,3.777349,5.816095,7.226882,8.451225,2.37065,standing
29.007347,8.605026,2.385138,4.037985,3.205109,4.594807,4.286704,4.04701,3.179271,0.516659,2.877375,1.865701,2.241925,1.777013,1.654343,2.356782,1.774745,1.349849,1.919844,0.899683,0.408767,0.496994,0.863273,0.74576,0.810765,0.377458,0.750366,0.331689,0.314167,0.658183,0.304434,0.361062,0.740954,0.361062,0.304434,0.658183,0.314167,0.331689,0.750366,0.377458,0.810765,0.74576,0.863273,0.496994,0.408767,0.899683,1.919844,1.349849,1.774745,2.356782,1.654343,1.777013,2.241925,1.865701,2.877375,0.516659,3.179271,4.04701,4.286704,4.594807,3.205109,4.037985,2.385138,8.605026,1.775281,standing
38.230385,4.195934,3.095228,9.863735,7.111855,0.82168,2.394335,1.870709,0.42468,0.8819,1.600127,0.726727,0.575854,1.081661,0.670941,0.447711,0.319868,0.335088,0.341929,0.393753,0.033755,0.402035,0.232212,0.090576,0.188522,0.13034,0.212379,0.053706,0.164613,0.174427,0.150352,0.242414,0.322403,0.242414,0.150352,0.174427,0.164613,0.053706,0.212379,0.13034,0.188522,0.090576,0.232212,0.402035,0.033755,0.393753,0.341929,0.335088,0.319868,0.447711,0.670941,1.081661,0.575854,0.726727,1.600127,0.8819,0.42468,1.870709,2.394335,0.82168,7.111855,9.863735,3.095228,4.195934,1.387397,standing
31.09423,4.095756,2.039482,0.190628,1.622193,1.214601,0.605332,0.660627,0.418008,0.492425,0.428186,0.26576,0.266684,0.134261,0.157421,0.236827,0.175871,0.279283,0.087485,0.116602,0.08989,0.216303,0.173858,0.223652,0.207466,0.081727,0.081238,0.066127,0.024328,0.13201,0.126664,0.16427,0.194436,0.16427,0.126664,0.13201,0.024328,0.066127,0.081238,0.081727,0.207466,0.223652,0.173858,0.216303,0.08989,0.116602,0.087485,0.279283,0.175871,0.236827,0.157421,0.134261,0.266684,0.26576,0.428186,0.492425,0.418008,0.660627,0.605332,1.214601,1.622193,0.190628,2.039482,4.095756,0.707109,standing
29.620398,2.200955,1.322197,1.03337,2.466103,0.172888,0.111938,0.263735,0.294377,0.299292,0.262754,0.104474,0.280992,0.153311,0.121392,0.062083,0.046431,0.163766,0.086077,0.147586,0.064266,0.104199,0.04229,0.089099,0.055192,0.063968,0.050231,0.005985,0.046291,0.046458,0.034079,0.085255,0.018347,0.085255,0.034079,0.046458,0.046291,0.005985,0.050231,0.063968,0.055192,0.089099,0.04229,0.104199,0.064266,0.147586,0.086077,0.163766,0.046431,0.062083,0.121392,0.153311,0.280992,0.104474,0.262754,0.299292,0.294377,0.263735,0.111938,0.172888,2.466103,1.03337,1.322197,2.200955,0.616448,standing
22.334666,1.992681,1.231381,1.177945,1.671134,1.385288,0.728811,0.708082,0.317244,0.43851,0.380976,0.2549,0.243865,0.226085,0.189767,0.280542,0.364494,0.223893,0.291456,0.172494,0.204489,0.099897,0.141023,0.137571,0.108264,0.10304,0.184521,0.095714,0.168493,0.106183,0.149542,0.168842,0.0581,0.168842,0.149542,0.106183,0.168493,0.095714,0.184521,0.10304,0.108264,0.137571,0.141023,0.099897,0.204489,0.172494,0.291456,0.223893,0.364494,0.280542,0.189767,0.226085,0.243865,0.2549,0.380976,0.43851,0.317244,0.708082,0.728811,1.385288,1.671134,1.177945,1.231381,1.992681,0.580388,standing
16.677542,1.494045,1.398366,0.243405,0.561002,0.474907,0.356865,0.210589,0.36034,0.299056,0.153896,0.229614,0.115727,0.05367,0.062462,0.022372,0.073516,0.036434,0.113223,0.015788,0.100266,0.069984,0.074906,0.054117,0.065163,0.075949,0.043447,0.017834,0.061079,0.055744,0.062658,0.062504,0.029211,0.062504,0.062658,0.055744,0.061079,0.017834,0.043447,0.075949,0.065163,0.054117,0.074906,0.069984,0.100266,0.015788,0.113223,0.036434,0.073516,0.022372,0.062462,0.05367,0.115727,0.229614,0.153896,0.299056,0.36034,0.210589,0.356865,0.474907,0.561002,0.243405,1.398366,1.494045,0.35993,standing
16.743202,1.047442,3.61132,1.446342,0.606591,1.220618,0.774635,0.124674,0.408869,0.065448,0.341418,0.147242,0.163677,0.072164,0.035951,0.068587,0.109137,0.155219,0.039945,0.081686,0.115049,0.167664,0.015058,0.064882,0.121768,0.044711,0.039037,0.040517,0.066106,0.080633,0.079848,0.035049,0.08537,0.035049,0.079848,0.080633,0.066106,0.040517,0.039037,0.044711,0.121768,0.064882,0.015058,0.167664,0.115049,0.081686,0.039945,0.155219,0.109137,0.068587,0.035951,0.072164,0.163677,0.147242,0.341418,0.065448,0.408869,0.124674,0.774635,1.220618,0.606591,1.446342,3.61132,1.047442,0.457647,standing
12.979053,0.797304,2.306918,0.821419,1.663057,0.582874,0.790549,0.167459,0.65366,0.404917,0.237816,0.081796,0.14656,0.24707,0.236124,0.085049,0.155833,0.102971,0.140334,0.098562,0.063768,0.081541,0.056366,0.128801,0.116874,0.055147,0.069881,0.089896,0.07482,0.037856,0.018545,0.091877,0.072096,0.091877,0.018545,0.037856,0.07482,0.089896,0.069881,0.055147,0.116874,0.128801,0.056366,0.081541,0.063768,0.098562,0.140334,0.102971,0.155833,0.085049,0.236124,0.24707,0.14656,0.081796,0.237816,0.404917,0.65366,0.167459,0.790549,0.582874,1.663057,0.821419,2.306918,0.797304,0.40183,standing
12.841092,0.946202,2.386466,2.427765,1.910644,0.801353,1.33314,0.223077,0.560621,0.56248,0.096228,0.284787,0.080445,0.209326,0.105468,0.067492,0.070432,0.05098,0.080554,0.120079,0.095557,0.075138,0.064728,0.042476,0.087752,0.111366,0.058978,0.034928,0.099327,0.045416,0.085861,0.051953,0.07139,0.051953,0.085861,0.045416,0.099327,0.034928,0.058978,0.111366,0.087752,0.042476,0.064728,0.075138,0.095557,0.120079,0.080554,0.05098,0.070432,0.067492,0.105468,0.209326,0.080445,0.284787,0.096228,0.56248,0.560621,0.223077,1.33314,0.801353,1.910644,2.427765,2.386466,0.946202,0.416592,standing
